condition_id,candidate_mode,selection,assumed_input_index,point_index,probe_position_deg,distance_from_flanker_edge_deg,log_sensitivity_ratio,spread_recorded,errorbar_halfwidth_source_convention
P01_L010,2,source_plotting_index_rule,12165,2,-0.3724,0.1276,-0.11858690230697631,0.2671346959280576,0.1335673479640288
P01_L010,2,source_plotting_index_rule,12165,3,-0.3209,0.17909999999999998,0.11617694863695154,0.12837840225362895,0.06418920112681448
P01_L010,2,source_plotting_index_rule,12165,4,-0.2693,0.23070000000000002,0.2067609962744478,0.2333929915100235,0.11669649575501174
P01_L010,2,source_plotting_index_rule,12165,5,-0.212,0.28800000000000003,-0.1477810726972429,0.22832918366036745,0.11416459183018372
P01_L010,2,source_plotting_index_rule,12165,6,-0.1604,0.3396,-0.15771695081733555,0.2661352127256628,0.1330676063628314
P01_L010,2,source_plotting_index_rule,12165,7,-0.1089,0.3911,-0.17273620350212301,0.21696289054533283,0.10848144527266641
P01_L010,2,source_plotting_index_rule,12165,8,-0.0516,0.4484,0.00993308870256443,0.17742428113126416,0.08871214056563208
P01_L010,2,source_plotting_index_rule,12165,9,0.0,0.5,-0.019727634794751356,0.15003264292726862,0.07501632146363431
P01_L010,2,source_plotting_index_rule,12165,10,0.0516,0.5516,-0.014274881475224894,0.28706567570564756,0.14353283785282378
P01_L010,2,source_plotting_index_rule,12165,11,0.1089,0.6089,0.18423975007531207,0.13221993924419895,0.06610996962209947
P01_L010,2,source_plotting_index_rule,12165,12,0.1604,0.6604,0.05922511072036957,0.1847581904260101,0.09237909521300505
P01_L010,2,source_plotting_index_rule,12165,13,0.2693,0.7693,-0.10038775642236095,0.23472121451503658,0.11736060725751829
P01_L010,2,source_plotting_index_rule,12165,14,0.3209,0.8209,-0.16318188705736308,0.3037378088602509,0.15186890443012546
P01_L010,2,source_plotting_index_rule,12165,15,0.3724,0.8724000000000001,0.08961458681847721,0.18233446249285973,0.09116723124642986
P01_L020,1,row_linked_max_fms,280,0,-0.4183,0.0817,-0.22631031865956264,0.25409097373542444,0.12704548686771222
P01_L020,1,row_linked_max_fms,280,1,-0.3552,0.14479999999999998,-0.06708114740979788,0.1452084552953142,0.0726042276476571
P01_L020,1,row_linked_max_fms,280,2,-0.2865,0.21350000000000002,-0.06667782645417818,0.16859510510340858,0.08429755255170429
P01_L020,1,row_linked_max_fms,280,3,-0.2177,0.2823,-0.054843119829665936,0.24893407821147953,0.12446703910573977
P01_L020,1,row_linked_max_fms,280,4,-0.1547,0.3453,0.07964605974154997,0.19461816317063305,0.09730908158531652
P01_L020,1,row_linked_max_fms,280,5,-0.0859,0.4141,0.2187543945339292,0.20508240865512112,0.10254120432756056
P01_L020,1,row_linked_max_fms,280,6,-0.0172,0.4828,0.11496841412500172,0.21679814433480205,0.10839907216740102
P01_L020,1,row_linked_max_fms,280,7,0.0458,0.5458,-0.23815449688793194,0.5282273965791705,0.26411369828958525
P01_L020,1,row_linked_max_fms,280,8,0.1146,0.6146,-0.10220321419875819,0.2116870858710456,0.1058435429355228
P01_L020,1,row_linked_max_fms,280,9,0.1776,0.6776,0.013267760021304708,0.23288951964779794,0.11644475982389897
P01_L020,1,row_linked_max_fms,280,10,0.2464,0.7464,0.18006082177933597,0.23799004922079975,0.11899502461039987
P01_L020,1,row_linked_max_fms,280,11,0.3151,0.8150999999999999,0.06954047206696641,0.1523989580176785,0.07619947900883925
P01_L020,1,source_plotting_index_rule,55,0,-0.4183,0.0817,-0.24485246824481324,0.2724221055155065,0.13621105275775325
P01_L020,1,source_plotting_index_rule,55,1,-0.3552,0.14479999999999998,-0.1718518121167707,0.11251585505160885,0.05625792752580443
P01_L020,1,source_plotting_index_rule,55,2,-0.2865,0.21350000000000002,-0.09334646987264227,0.1805896292859989,0.09029481464299945
P01_L020,1,source_plotting_index_rule,55,3,-0.2177,0.2823,-0.21782369833754092,0.2671784899226572,0.1335892449613286
P01_L020,1,source_plotting_index_rule,55,4,-0.1547,0.3453,0.12365029076284605,0.20815792314588977,0.10407896157294488
P01_L020,1,source_plotting_index_rule,55,5,-0.0859,0.4141,0.27331995463346787,0.20168347401454204,0.10084173700727102
P01_L020,1,source_plotting_index_rule,55,6,-0.0172,0.4828,0.061274144167213454,0.22038570822470774,0.11019285411235387
P01_L020,1,source_plotting_index_rule,55,7,0.0458,0.5458,-0.42733703330999434,0.46043315327553724,0.23021657663776862
